"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","1000uF","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"D1,D2","2","MBR745","","","","Package_TO_SOT_THT:TO-220-2_Vertical","http://www.onsemi.com/pub_link/Collateral/MBR735-D.PDF"
"D3,D4","2","CD4148WSP","","","","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.diodes.com/assets/Datasheets/ds30396.pdf"
"K1,K3","2","RT42xAxx","","","","Relay_THT:Relay_DPDT_Schrack-RT2-FormC_RM5mm","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7FRT2_bistable%7F1116%7Fpdf%7FEnglish%7FENG_DS_RT2_bistable_1116.pdf%7F1-1415537-8"
"L1,L2,L3","3","Linear_actuator","","","","Connector_AMASS:AMASS_XT60PW-M_1x02_P7.20mm_Horizontal",""
"Q1,Q2","2","IRLB3813","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf"
"Q3,Q5","2","2N7002","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF"
"R1,R3","2","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R2,R4","2","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R5,R6","2","220","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"U1","1","ESP32-S3-WROOM","","","","Espressif:ESP32-S3-DevKitC",""
