Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D8.0mm_P3.50mm,2,1000uF,
"D1, D2",TO-220-2_Vertical,2,MBR745,
"D3, D4",0805,2,CD4148WSP,
"D5, D6",DO-15_BD3.1-L6.7-P10.70-D0.9-BI,2,P6KE30CA_C696659,C696659
"K1, K2",Relay_DPDT_Schrack-RT2-FormC_RM5mm,2,RT424024,
"L1, L2, PWD1",AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,3,Linear_actuator,
"Q1, Q2",TO-220-3_Vertical,2,IRLZ44NPBF,
"Q3, Q4",SOT-23,2,2N7002,
"R1, R3",0805,2,1k,
"R2, R4, R7, R8",0805,4,10k,
"R5, R6",0805,2,220,
U1,ESP32-S3-DevKitC,1,ESP32-S3-WROOM,
